사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,3호선,61,지축,1,0,2096,1117,7457,6221,20164,3967,20407,3827,10022,2704,6812,2449,5813,3403,5836,3845,5329,3933,4839,4317,6358,5571,9702,7233,7503,9093,4466,16621,2081,13552,1332,8845,1101,7221,848,7587,346,3527,0,0,0,1,0,0,0,0
2021-11,3호선,62,구파발,148,1,9812,1480,28447,8981,84993,21138,76136,29227,41598,26681,29051,25913,27883,22109,28767,23968,26583,25779,27129,26545,31594,26264,36208,32123,37243,41941,29650,68548,17900,57614,13745,32017,12198,26735,9712,25173,2116,20750,15,4414,0,9,0,0,0,0
2021-11,3호선,63,연신내,355,14,26127,1846,50026,10572,128634,21692,154425,34022,87107,33357,56406,32535,51122,34436,54893,37165,51915,41131,48047,43616,48755,53740,54057,64152,52984,85331,45800,136545,30301,117134,23951,61842,22129,57237,18347,52709,6343,34018,23,3215,1,1,0,0,0,0
2021-11,3호선,64,불광,18,1,9381,1141,18577,5871,51041,10070,60771,33008,34509,30625,24076,25678,22494,22971,23775,24116,24253,25857,24774,26395,26320,28824,27427,32774,30211,38698,30854,58360,15894,45920,12538,26415,11059,21549,6974,20288,2184,13402,4,457,0,0,1,1,0,0
2021-11,3호선,65,녹번,33,8,9266,565,23824,3528,66732,7225,76611,18517,41527,10660,25852,9063,21167,10149,20881,11470,19520,12374,17223,14521,15696,17461,17100,24457,18423,34627,19637,61082,9364,50079,6901,28297,5565,24761,4163,23049,1203,14573,1,38,0,0,0,0,0,0
2021-11,3호선,66,홍제,50,4,9051,1346,21838,7822,59567,10707,67701,25501,41097,18981,28508,17288,25794,16305,27580,18068,25205,20114,24422,21760,24443,26097,26528,31530,28624,39061,26705,60218,13282,46971,10297,26423,7870,25050,5736,20722,1759,13740,0,0,0,0,0,0,0,0
2021-11,3호선,67,무악재,19,0,1704,269,5086,2854,14273,2771,16276,5946,9856,3584,6641,3327,5695,3496,5684,3819,5409,4358,4752,4457,4679,5713,5511,7107,6606,9638,6422,15135,2668,12480,2121,7110,1784,6506,1317,5737,316,3993,0,5,0,0,0,0,0,0
2021-11,3호선,68,독립문,82,1,4903,677,5565,5995,14650,13306,17781,21149,13473,14913,11412,13642,11422,10794,12687,10732,12032,12911,12794,10903,13965,10864,16268,11532,15441,13570,15148,16330,6904,12583,4878,7566,3888,7039,3081,6518,657,3950,9,4409,0,0,0,0,0,0
2021-11,3호선,69,경복궁(정부서울청사),73,1,2665,1639,5059,12812,13053,39708,19556,108727,18003,64444,14765,43903,18325,43306,21354,39476,26386,40511,34705,38975,45989,32629,59571,30437,76316,31795,103833,36593,43281,21855,36888,10774,37908,9004,25101,8377,7155,5173,12,360,0,0,1,1,0,0
2021-11,3호선,70,안국,21,0,1388,1455,3081,20121,6087,90496,8613,102044,8850,64634,10114,45278,15192,49080,22349,42544,24153,40488,33335,38690,46750,30947,62120,26928,108966,25028,107226,22193,44499,10458,34266,5350,32435,4550,19227,3739,5018,2715,3,54,0,1,0,0,0,0
2021-11,3호선,71,종로3가,14,1,683,997,983,5617,1524,13807,2240,44339,3180,43942,5177,30771,7720,24431,9335,22725,10994,21422,13160,19860,17472,17896,20568,15820,32014,15798,54060,15557,29576,7941,16387,3610,17963,2730,13619,2000,4841,1630,6,320,0,0,0,0,0,0
